MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
1-00507-7501,535-R1,11 PRINCE STREET,1,10012,40.722611,-73.993856,2,1,43,1075964,1005077501,SoHo-TriBeCa-Civic Center-Little Italy                                     ,LITTLE ITALY,R4-ELEVATOR,22,1900,22511,568403,25.3,2349999,104,1-00501-0006,423 WEST BROADWAY,SOHO,D7-ELEVATOR,28,1910,20670,1036032,50,5090000,246,0.4,1-00504-0011,188 AVENUE OF THE AMERICA,SOHO,C7-WALK-UP,59,1900,33930,1045553,30.8,4870000,144,0.55
1-00508-7501,527-R1,259 ELIZABETH STREET,1,10012,40.723645,-73.993787,2,1,43,1075966,1005087501,SoHo-TriBeCa-Civic Center-Little Italy                                     ,LITTLE ITALY,R4-ELEVATOR,26,1987,17117,530000,31,2470001,144,1-00470-0005,160 MOTT STREET,LITTLE ITALY,D1-ELEVATOR,36,1910,11967,401014,33.5,1870000,156,0.3,1-00495-0022,249 MULBERRY STREET,LITTLE ITALY,D9-ELEVATOR,76,1986,41182,2512074,61,12300000,299,0.15
1-01415-7501,307-R1,200 EAST 61 STREET,1,10065,40.762657,-73.965338,8,4,110,1043547,1014157501,Lenox Hill-Roosevelt Island                                                ,UPPER EAST SIDE (59-79),R4-ELEVATOR,219,1986,254167,11300000,44.5,55499994,218,1-01426-0044,206 EAST 72 STREET,UPPER EAST SIDE (59-79),D6-ELEVATOR,442,1979,377297,18486479,49,90800000,241,0.55,,,,,,,,,,,,
1-00510-7501,1065-R1,285 LAFAYETTE STREET,1,10012,40.724126,-73.9961,2,1,43,1007931,1005107501,SoHo-TriBeCa-Civic Center-Little Italy                                     ,LITTLE ITALY,R4-ELEVATOR,29,1900,97941,3036171,31,14100000,144,1-00495-0033,229 MULBERRY STREET,LITTLE ITALY,D9-ELEVATOR,62,1999,67300,2809478,41.7,13800000,205,0.1,1-00508-0025,65 EAST HOUSTON STREET,LITTLE ITALY,D9-ELEVATOR,163,1991,92088,4608905,50,22600000,245,0.1
1-00512-7501,75-R1,583 BROADWAY,1,10012,40.724694,-73.99741,2,1,49,1007955,1005127501,SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,21,1900,107781,3125649,29,14100001,131,1-00508-0025,65 EAST HOUSTON STREET,LITTLE ITALY,D9-ELEVATOR,163,1991,92088,4608905,50,22600000,245,0.2,1-00495-0033,229 MULBERRY STREET,LITTLE ITALY,D9-ELEVATOR,62,1999,67300,2809478,41.7,13800000,205,0.15
1-00513-7503,1390-R1,19 WEST HOUSTON STREET,1,10012,40.725847,-73.997731,2,1,49,1086552,1005137503,SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,32,2003,56800,2371400,41.8,11600002,204,1-00508-0025,65 EAST HOUSTON STREET,LITTLE ITALY,D9-ELEVATOR,163,1991,92088,4608905,50,22600000,245,0.25,1-00495-0033,229 MULBERRY STREET,LITTLE ITALY,D9-ELEVATOR,62,1999,67300,2809478,41.7,13800000,205,0.2
1-00514-7505,1404-R1,160 WOOSTER STREET,1,10012,40.726149,-73.999441,2,1,49,1086553,1005147505,SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,15,2003,41314,1518289,36.7,7070000,171,1-00508-0025,65 EAST HOUSTON STREET,LITTLE ITALY,D9-ELEVATOR,163,1991,92088,4608905,50,22600000,245,0.3,1-00495-0022,249 MULBERRY STREET,LITTLE ITALY,D9-ELEVATOR,76,1986,41182,2512074,61,12300000,299,0.25
1-00515-7501,1633-R1,139 WOOSTER STREET,1,10012,40.72577,-73.999784,2,1,49,1087530,1005157501,SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,16,2006,38591,1620822,42,7960007,206,1-00494-0015,40 PRINCE STREET,LITTLE ITALY,D7-ELEVATOR,41,1900,45990,2107819,45.8,10300000,224,0.35,1-00521-0001,298 MULBERRY STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,100,1986,86746,4766863,55,23400000,270,0.3
1-00515-7502,1941-R1,149 WOOSTER STREET,1,10012,40.726044,-73.999553,2,1,49,1008013,1005157502,SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,11,1915,37403,1122090,30,5229997,140,1-00494-0015,40 PRINCE STREET,LITTLE ITALY,D7-ELEVATOR,41,1900,45990,2107819,45.8,10300000,224,0.35,1-00521-0001,298 MULBERRY STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,100,1986,86746,4766863,55,23400000,270,0.3
1-00517-7501,736-R1,131 THOMPSON STREET,1,10012,40.726519,-74.001281,2,3,49,1008052,1005177501,SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R9-CONDOPS,38,1950,20826,520650,25,2160000,104,1-00527-0069,26 CARMINE STREET,GREENWICH VILLAGE-WEST,C7-WALK-UP,28,1900,16977,628371,37,2930000,173,0.2,1-00504-0031,112 SULLIVAN STREET,SOHO,D1-ELEVATOR,60,1920,38880,1182870,30.4,5510000,142,0.1
1-00518-7502,670-R1,199 PRINCE STREET,1,10012,40.726709,-74.002756,2,3,49,1008081,1005187502,SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R2-WALK-UP,27,1900,13020,325500,25,1349999,104,1-00504-0011,188 AVENUE OF THE AMERICA,SOHO,C7-WALK-UP,59,1900,33930,1045553,30.8,4870000,144,0.1,1-00470-0029,212 GRAND STREET,LITTLE ITALY,D9-ELEVATOR,16,1920,14221,411021,28.9,1700000,120,0.65
1-00518-7504,1093-R1,195 PRINCE STREET,1,10012,40.726648,-74.002637,2,3,49,1008080,1005187504,SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R2-WALK-UP,15,1920,6013,150325,25,622994,104,1-00504-0011,188 AVENUE OF THE AMERICA,SOHO,C7-WALK-UP,59,1900,33930,1045553,30.8,4870000,144,0.1,1-00470-0029,212 GRAND STREET,LITTLE ITALY,D9-ELEVATOR,16,1920,14221,411021,28.9,1700000,120,0.65
1-00520-7501,66-R1,27 KING STREET,1,10014,40.727754,-74.004012,2,3,37,1008142,1005207501,SoHo-TriBeCa-Civic Center-Little Italy                                     ,SOHO,R4-ELEVATOR,38,1900,33383,898002,26.9,3720000,111,1-00521-0075,312 BOWERY,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,17,1920,23000,998230,43.4,4900000,213,0.65,1-00527-0007,14 BEDFORD STREET,GREENWICH VILLAGE-WEST,C7-WALK-UP,23,1900,12860,505531,39.3,2480000,193,0.1
1-00521-7501,630-R1,306 MOTT STREET,1,10012,40.725117,-73.993982,2,1,5502,1066782,1005217501,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,18,1988,9514,330611,34.7,1540000,162,1-00567-0024,21 EAST 9 STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,19,1938,10015,545000,54,2680000,268,0.55,1-00558-0018,122 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D3-ELEVATOR,16,1900,10225,433000,42.3,2130000,208,0.55
1-00522-7501,348-R1,54 BLEECKER STREET,1,10012,40.726003,-73.994816,2,1,5502,1008223,1005227501,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,11,1910,31039,807014,26,3340000,108,1-00572-0049,11 WEST 8 STREET,GREENWICH VILLAGE-CENTRAL,D7-ELEVATOR,36,1920,30858,1224000,39.7,6010000,195,0.55,1-00557-0011,810 BROADWAY,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,11,1907,21492,477000,22.19,1980000,92,0.5
1-00525-7501,150-R1,156 BLEECKER STREET,1,10012,40.728474,-73.999798,2,3,65,1083503,1005257501,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,190,1910,132000,3346200,25.4,13900000,105,1-00575-0077,55 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,88,1924,63943,2434000,38.1,11300000,177,0.5,1-00521-0045,303 ELIZABETH STREET,GREENWICH VILLAGE-CENTRAL,D1-ELEVATOR,195,1991,187368,7469866,39.9,36700000,196,0.4
1-00525-7502,212-R1,496 LA GUARDIA PLACE,1,10012,40.727362,-73.999567,2,1,65,1008281,1005257502,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,11,1910,6670,179423,26.9,742998,111,1-00532-0025,643 BROADWAY,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,19,1920,11250,358000,31.8,1670000,148,0.2,1-00567-0024,21 EAST 9 STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,19,1938,10015,545000,54,2680000,268,0.45
1-00525-7503,646-R1,177 THOMPSON STREET,1,10012,40.727809,-74.000206,2,3,65,1008250,1005257503,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,54,1958,23688,615888,26,2550000,108,1-00521-0075,312 BOWERY,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,17,1920,23000,998230,43.4,4900000,213,0.45,1-00563-0043,63 EAST 11 STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,42,1970,23353,914500,39.2,4490000,192,0.55
1-00525-7506,1685-R1,184 THOMPSON STREET,1,10012,40.727988,-74.000032,2,1,65,1008266,1005257506,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,144,1910,85234,2642254,31,12300000,144,1-00548-0040,11 WAVERLY PLACE,GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,168,1929,80895,5100000,63,25000000,309,0.35,1-00521-0001,298 MULBERRY STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,100,1986,86746,4766863,55,23400000,270,0.35
1-00528-7501,426-R1,63 DOWNING STREET,1,10014,40.729025,-74.004734,2,3,67,1066793,1005287501,West Village                                                               ,GREENWICH VILLAGE-WEST,R4-ELEVATOR,32,1986,35225,1091975,31,5090005,144,1-00558-0010,127 PARK AVENUE SOUTH,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,49,1930,37299,1918000,51,9420000,253,0.85,1-00575-0011,472 AVENUE OF THE AMERICA,GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,47,1957,34485,1590000,46.1,7810000,226,0.55
1-00528-7502,495-R1,3 BEDFORD STREET,1,10014,40.728839,-74.003381,2,3,67,1066827,1005287502,West Village                                                               ,GREENWICH VILLAGE-WEST,R4-ELEVATOR,12,1986,15990,479700,30,2230001,139,1-00540-0028,220 SULLIVAN STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,36,1900,15215,795000,52,3900000,256,0.2,1-00563-0026,40 EAST 12 STREET,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,25,1900,24198,966000,39.9,4740000,196,0.7
1-00529-7502,494-R1,7 BOND STREET,1,10012,40.726796,-73.994465,2,1,5502,1066841,1005297502,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,20,1904,24630,735000,29.8,3420002,139,1-00543-0048,136 WEST 4 STREET,GREENWICH VILLAGE-CENTRAL,D1-ELEVATOR,30,1929,20874,663000,31.8,3090000,148,0.4,1-00563-0026,40 EAST 12 STREET,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,25,1900,24198,966000,39.9,4740000,196,0.5
1-00529-7504,631-R1,1 BOND STREET,1,10012,40.726887,-73.994646,2,1,5502,1008423,1005297504,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,21,1900,41990,1165222,27.7,4829999,115,1-00543-0048,136 WEST 4 STREET,GREENWICH VILLAGE-CENTRAL,D1-ELEVATOR,30,1929,20874,663000,31.8,3090000,148,0.4,1-00564-0011,52 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,27,1930,34708,951000,27.4,3940000,114,0.55
1-00530-7505,1721-R1,40 BOND STREET,1,10012,40.726165,-73.993127,2,1,5502,1008495,1005307505,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,26,2006,85000,3570000,42,17499997,206,1-00521-0001,298 MULBERRY STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,100,1986,86746,4766863,55,23400000,270,0.1,1-00545-0059,752 BROADWAY,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,180,1909,147773,8289000,56,40700000,275,0.25
1-00531-7501,70-R1,692 BROADWAY,1,10012,40.728237,-73.994386,2,1,5502,1008529,1005317501,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,56,1912,92500,3237500,35,15099995,163,1-00548-0040,11 WAVERLY PLACE,GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,168,1929,80895,5100000,63,25000000,309,0.2,1-00521-0001,298 MULBERRY STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,100,1986,86746,4766863,55,23400000,270,0.2
1-00535-7501,295-R1,14 WEST 4 STREET,1,10012,40.728745,-73.994945,2,1,5501,1008629,1005357501,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,273,1908,290492,9586236,33,44700000,154,1-00565-9021,842 BROADWAY,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,240,1996,208961,12525000,60,61500000,294,0.45,1-00548-0001,1 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,272,1930,218985,7882000,36,36700000,168,0.2
1-00540-7501,567-R1,173 BLEECKER STREET,1,10012,40.728891,-74.00061,2,1,65,1076067,1005407501,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,18,1900,15744,421152,26.8,1740000,111,1-00543-0048,136 WEST 4 STREET,GREENWICH VILLAGE-CENTRAL,D1-ELEVATOR,30,1929,20874,663000,31.8,3090000,148,0.05,1-00567-0005,29 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,17,1920,16247,574000,35.3,2670000,164,0.35
1-00542-7501,484-R1,205 BLEECKER STREET,1,10012,40.729377,-74.001606,2,1,65,1066879,1005427501,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,24,1928,17842,477273,26.7,1980000,111,1-00543-0048,136 WEST 4 STREET,GREENWICH VILLAGE-CENTRAL,D1-ELEVATOR,30,1929,20874,663000,31.8,3090000,148,0.05,1-00567-0005,29 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,17,1920,16247,574000,35.3,2670000,164,0.4
1-00542-7502,644-R1,189 BLEECKER STREET,1,10012,40.729248,-74.001339,2,1,65,1084932,1005427502,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,40,1900,22777,630000,27.7,2610000,115,1-00543-0048,136 WEST 4 STREET,GREENWICH VILLAGE-CENTRAL,D1-ELEVATOR,30,1929,20874,663000,31.8,3090000,148,0.05,1-00521-0075,312 BOWERY,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,17,1920,23000,998230,43.4,4900000,213,0.55
1-00544-7501,2004-R1,56 COOPER SQUARE,1,10003,40.728899,-73.991023,2,2,57,1008776,1005447501,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,25,1920,88353,3401591,38.5,16700000,189,1-00521-0001,298 MULBERRY STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,100,1986,86746,4766863,55,23400000,270,0.25,1-00548-0040,11 WAVERLY PLACE,GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,168,1929,80895,5100000,63,25000000,309,0.2
1-00544-7502,1496-R1,443 LAFAYETTE STREET,1,10003,40.729365,-73.991846,2,2,57,1087152,1005447502,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,39,2004,116535,4894470,42,24000000,206,1-00521-0001,298 MULBERRY STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,100,1986,86746,4766863,55,23400000,270,0.25,1-00545-0059,752 BROADWAY,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,180,1909,147773,8289000,56,40700000,275,0.1
1-00545-7503,1341-R1,21 ASTOR PLACE,1,10003,40.729991,-73.992221,2,2,57,1008807,1005457503,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,50,1930,96566,2703848,28,11199999,116,1-00521-0001,298 MULBERRY STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,100,1986,86746,4766863,55,23400000,270,0.35,1-00548-0040,11 WAVERLY PLACE,GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,168,1929,80895,5100000,63,25000000,309,0.1
1-00548-7501,797-R1,60 EAST 8 STREET,1,10003,40.730886,-73.99313,2,1,57,1080855,1005487501,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,390,1965,445151,15580285,35,72600000,163,1-00565-9021,842 BROADWAY,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,240,1996,208961,12525000,60,61500000,294,0.3,1-00577-0010,58 WEST 14 STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,23,1906,37810,1899000,50,9320000,246,0.45
1-00552-7501,349-R1,360 6 AVENUE,1,10011,40.732451,-74.000401,2,1,65,1008904,1005527501,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,28,1986,43106,1153085,26.7,4780002,111,1-00572-0026,24 WEST 9 STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,50,1923,46137,1947000,42.2,9560000,207,0.1,1-00564-0004,107 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,47,1940,43395,1242000,28.6,5140000,118,0.4
1-00552-7504,1660-R1,88 WEST WASHINGTON PLACE,1,10011,40.73211,-74.000112,2,1,65,1008869,1005527504,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,28,1966,32116,1082819,33.7,5040003,157,1-00557-0039,80 4 AVENUE,GREENWICH VILLAGE-CENTRAL,D7-ELEVATOR,12,1928,33450,1464000,43.8,7190000,215,0.5,1-00575-0011,472 AVENUE OF THE AMERICA,GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,47,1957,34485,1590000,46.1,7810000,226,0.3
1-00556-7501,330-R1,10430 EAST 12 STREET,1,,,,,,,,,,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,11,1905,28385,801876,28.2,3320001,117,1-00567-0005,29 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,17,1920,16247,574000,35.3,2670000,164,0.3,1-00572-0008,416 AVENUE OF THE AMERICA,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,32,1900,20893,1165000,56,5720000,274,0.45
1-00557-7501,39-R1,806 BROADWAY,1,10003,40.732563,-73.991243,2,2,61,1009006,1005577501,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,65,1900,83089,2222630,26.7,9210000,111,1-00548-0040,11 WAVERLY PLACE,GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,168,1929,80895,5100000,63,25000000,309,0.2,1-00521-0001,298 MULBERRY STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,100,1986,86746,4766863,55,23400000,270,0.5
1-00716-7503,1871-R1,447 WEST 18 STREET,1,10011,40.74413,-74.005135,4,3,89,1087721,1007167503,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,CHELSEA,R4-ELEVATOR,47,2007,83950,3693800,44,18100000,216,1-00717-0077,460 WEST 20 STREET,CHELSEA,D7-ELEVATOR,75,1999,68260,3345000,49,16400000,240,0.04,1-00720-0045,401 WEST 22 STREET,CHELSEA,D6-ELEVATOR,59,1999,58394,2357500,40.4,11600000,199,0.2
1-00558-7501,210-R1,114 EAST 13 STREET,1,10003,40.733287,-73.989327,3,2,42,1009030,1005587501,East Village                                                               ,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,41,1985,56483,1666248,29.5,7760002,137,1-00571-0025,120 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,95,1959,59299,1792000,30.2,8350000,141,0.25,1-00570-0008,6 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,54,1900,49408,2048000,41.5,10100000,204,0.25
1-01753-7502,1656-R1,50 EAST 129 STREET,1,10035,40.808093,-73.93837,11,9,206,1086526,1017537502,Central Harlem North-Polo Grounds                                          ,HARLEM-CENTRAL,R4-ELEVATOR,18,2004,15023,570000,37.9,2659996,177,1-01677-0009,315 EAST 105 STREET,HARLEM-EAST,D7-ELEVATOR,24,2004,28000,515739,18.42,1930000,69,1.25,,,,,,,,,,,,
1-00558-7502,446-R1,115 4 AVENUE,1,10003,40.73292,-73.989984,3,2,42,1066890,1005587502,East Village                                                               ,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,70,1905,90082,2605171,28.9,12099998,134,1-00571-0025,120 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,95,1959,59299,1792000,30.2,8350000,141,0.25,1-00521-0001,298 MULBERRY STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,100,1986,86746,4766863,55,23400000,270,0.6
1-00558-7503,684-R1,125 EAST 12 STREET,1,10003,40.732511,-73.989421,3,2,42,1009014,1005587503,East Village                                                               ,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,44,1988,57042,1645662,28.9,6820002,120,1-00570-0008,6 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,54,1900,49408,2048000,41.5,10100000,204,0.25,1-00571-0025,120 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,95,1959,59299,1792000,30.2,8350000,141,0.25
1-00559-7501,1742-R1,108 3 AVENUE,1,10003,40.732766,-73.987577,3,2,42,1087620,1005597501,East Village                                                               ,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,84,2006,100500,4422000,44,21700001,216,1-00521-0001,298 MULBERRY STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,100,1986,86746,4766863,55,23400000,270,0.65,1-00545-0059,752 BROADWAY,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,180,1909,147773,8289000,56,40700000,275,0.3
1-00560-7501,306-R1,21 UNIVERSITY PLACE,1,10003,40.731677,-73.994707,2,2,59,1009090,1005607501,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,145,1955,136098,3661036,26.9,15200000,112,1-00572-0038,20 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,113,1940,132420,5205400,39.3,25600000,193,0.25,1-00556-0001,85 4 AVENUE,GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,164,1959,156465,4370000,27.9,18100000,116,0.2
1-00560-7502,304-R1,40 EAST 9 STREET,1,10003,40.731808,-73.993473,2,2,59,1009091,1005607502,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,150,1959,160209,4606009,28.8,19100000,119,1-00559-0009,92 PARK AVENUE SOUTH,GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,220,1964,184645,9153000,49.6,44900000,243,0.3,1-00545-0059,752 BROADWAY,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,180,1909,147773,8289000,56,40700000,275,0.1
1-00560-7503,303-R1,60 EAST 9 STREET,1,10003,40.731476,-73.992679,2,2,59,1009092,1005607503,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,213,1954,140370,3775953,26.9,15600000,111,1-00572-0038,20 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,113,1940,132420,5205400,39.3,25600000,193,0.25,1-00556-0001,85 4 AVENUE,GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,164,1959,156465,4370000,27.9,18100000,116,0.2
1-00561-7501,787-R1,63 EAST 9 STREET,1,10003,40.731424,-73.992509,2,2,59,1009099,1005617501,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R9-CONDOPS,229,1955,209785,5873980,28,24300000,116,1-00559-0009,92 PARK AVENUE SOUTH,GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,220,1964,184645,9153000,49.6,44900000,243,0.25,1-00545-0059,752 BROADWAY,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,180,1909,147773,8289000,56,40700000,275,0.15
1-00563-7501,298-R1,44 EAST 12 STREET,1,10003,40.733584,-73.992015,2,2,61,1009143,1005637501,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,44,1985,43542,1306260,30,6079998,140,1-00562-0044,25 EAST 10 STREET,GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,62,1929,45496,1838000,40.4,9020000,198,0.05,1-00572-0026,24 WEST 9 STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,50,1923,46137,1947000,42.2,9560000,207,0.3
1-00567-7501,1177-R1,23 5 AVENUE,1,10003,40.732934,-73.995843,2,2,59,1009224,1005677501,West Village                                                               ,GREENWICH VILLAGE-CENTRAL,R4-ELEVATOR,89,1921,81875,3070312,37.5,14300004,175,1-00548-0040,11 WAVERLY PLACE,GREENWICH VILLAGE-CENTRAL,D6-ELEVATOR,168,1929,80895,5100000,63,25000000,309,0.15,1-00521-0001,298 MULBERRY STREET,GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,100,1986,86746,4766863,55,23400000,270,0.5
