MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
1-01632-7501,666-R1,165 EAST 104 STREET,1,10029,40.790619,-73.946458,11,8,166,1085258,1016327501,East Harlem South                                                          ,HARLEM-EAST,R2-WALK-UP,12,1910,7690,165000,21.46,683006,89,1-01627-0024,155 EAST 99 STREET,HARLEM-EAST,C1-WALK-UP,20,1910,8925,235438,26.4,975000,109,0.25,1-01632-0023,155 EAST 104 STREET,HARLEM-EAST,C4-WALK-UP,16,1910,8145,119889,14.72,405000,49.7,0
1-01638-7501,1932-R1,161 EAST 110 STREET,1,10029,40.794509,-73.943685,11,8,172,1087779,1016387501,East Harlem South                                                          ,HARLEM-EAST,R4-ELEVATOR,68,2006,65699,1915000,29.1,8920002,136,1-01639-0057,138 EAST 112 STREET,HARLEM-EAST,D3-ELEVATOR,21,2004,23553,833208,35.4,3880000,165,0.1,1-01677-0009,315 EAST 105 STREET,HARLEM-EAST,D7-ELEVATOR,24,2004,28000,515739,18.42,1930000,69,0.35
1-01646-7502,1512-R2,215 EAST 96 STREET,1,10128,40.784795,-73.948369,11,5,15602,1086570,1016467502,East Harlem South                                                          ,HARLEM-EAST,R9-CONDOPS,215,2005,184939,8300000,44.9,40700000,220,1-01510-0020,1195 LEXINGTON AVENUE,UPPER EAST SIDE (79-96),D7-ELEVATOR,61,1987,78874,5429922,69,26700000,339,0.75,1-01624-0045,1501 LEXINGTON AVENUE,HARLEM-EAST,D6-ELEVATOR,161,2001,133370,5509585,41.3,27000000,202,0.1
1-01661-7501,1403-R1,227 EAST 111 STREET,1,10029,40.794448,-73.94159,11,8,180,1086571,1016617501,East Harlem North                                                          ,HARLEM-EAST,R4-ELEVATOR,22,2003,25721,900000,35,4189997,163,1-01639-0057,138 EAST 112 STREET,HARLEM-EAST,D3-ELEVATOR,21,2004,23553,833208,35.4,3880000,165,0.2,1-01627-0037,1794 3 AVENUE,HARLEM-EAST,D7-ELEVATOR,15,2002,10390,231556,22.29,959000,92,0.6
1-01667-7501,1829-R1,232 EAST 118 STREET,1,10035,40.79889,-73.938213,11,8,188,1052627,1016677501,East Harlem North                                                          ,HARLEM-EAST,R4-ELEVATOR,12,1910,12222,370000,30.3,1719998,141,1-01631-0060,130 EAST 104 STREET,HARLEM-EAST,D1-ELEVATOR,23,1915,17000,387030,22.77,1600000,94,0.75,1-01676-0031,346 EAST 105 STREET,HARLEM-EAST,D9-ELEVATOR,16,1900,16134,586241,36.3,2730000,169,0.65
1-01676-7501,342-R1,311 EAST 104 STREET,1,10029,40.789096,-73.942866,11,8,170,1052738,1016767501,East Harlem South                                                          ,HARLEM-EAST,R2-WALK-UP,12,1900,6092,135000,22.16,559000,92,1-01627-0024,155 EAST 99 STREET,HARLEM-EAST,C1-WALK-UP,20,1910,8925,235438,26.4,975000,109,0.35,1-01632-0023,155 EAST 104 STREET,HARLEM-EAST,C4-WALK-UP,16,1910,8145,119889,14.72,405000,49.7,0.25
1-01676-7504,1905-R1,2019 1 AVENUE,1,10029,40.788417,-73.94096,11,8,170,1087780,1016767504,East Harlem South                                                          ,HARLEM-EAST,R4-ELEVATOR,38,2007,32660,940000,28.8,3890000,119,1-01639-0057,138 EAST 112 STREET,HARLEM-EAST,D3-ELEVATOR,21,2004,23553,833208,35.4,3880000,165,0.5,1-01627-0037,1794 3 AVENUE,HARLEM-EAST,D7-ELEVATOR,15,2002,10390,231556,22.29,959000,92,0.35
1-01677-7503,574-R1,319 EAST 105 STREET,1,10029,40.789678,-73.942262,11,8,170,1076381,1016777503,East Harlem South                                                          ,HARLEM-EAST,R4-ELEVATOR,36,1929,33280,865000,26,3579990,108,1-01645-0012,127 EAST 117 STREET,HARLEM-EAST,D3-ELEVATOR,35,1920,29500,674036,22.85,1430000,48.5,0.7,1-01676-0031,346 EAST 105 STREET,HARLEM-EAST,D9-ELEVATOR,16,1900,16134,586241,36.3,2730000,169,0.05
1-01680-7501,458-R1,305 EAST 108 STREET,1,10029,40.79173,-73.941065,11,8,170,1074279,1016807501,East Harlem South                                                          ,HARLEM-EAST,R4-ELEVATOR,33,1926,46998,940000,20,3509998,75,1-01644-0059,136 EAST 117 STREET,HARLEM-EAST,D3-ELEVATOR,72,1910,55725,1248804,22.41,5170000,93,0.55,1-01671-0031,326 EAST 100 STREET,HARLEM-EAST,D3-ELEVATOR,92,1910,84180,1222875,14.53,4130000,49.1,0.45
1-01680-7502,1883-R1,330 EAST 109 STREET,1,10029,40.79218,-73.940173,11,8,170,1087781,1016807502,East Harlem South                                                          ,HARLEM-EAST,R4-ELEVATOR,28,2007,25174,1040000,41.3,5110003,203,1-01639-0057,138 EAST 112 STREET,HARLEM-EAST,D3-ELEVATOR,21,2004,23553,833208,35.4,3880000,165,0.4,,,,,,,,,,,,
1-01681-7501,1573-R1,2132 2 AVENUE,1,10029,40.792888,-73.940772,11,8,180,1087305,1016817501,East Harlem North                                                          ,HARLEM-EAST,R4-ELEVATOR,31,2006,32483,1260000,38.8,6190004,191,1-01639-0057,138 EAST 112 STREET,HARLEM-EAST,D3-ELEVATOR,21,2004,23553,833208,35.4,3880000,165,0.35,,,,,,,,,,,,
1-01681-7502,1942-R1,342 EAST 110 STREET,1,10029,40.792731,-73.939501,11,8,180,1088006,1016817502,East Harlem North                                                          ,HARLEM-EAST,R4-ELEVATOR,35,2007,38481,740000,19.23,2770002,72,1-01755-0020,47 EAST 130 STREET,HARLEM-CENTRAL,C4-WALK-UP,16,1926,15885,271981,17.12,577000,36.3,1.15,,,,,,,,,,,,
1-01683-7501,1479-R1,324 EAST 112 STREET,1,10029,40.794125,-73.938835,11,8,180,1087121,1016837501,East Harlem North                                                          ,HARLEM-EAST,R4-ELEVATOR,20,2004,22295,825000,37,3840000,172,1-01639-0057,138 EAST 112 STREET,HARLEM-EAST,D3-ELEVATOR,21,2004,23553,833208,35.4,3880000,165,0.35,,,,,,,,,,,,
1-01710-7503,1958-R1,416 EAST 117 STREET,1,10035,40.796423,-73.934325,11,8,178,1087942,1017107503,East Harlem North                                                          ,HARLEM-EAST,R4-ELEVATOR,15,2007,21472,710000,33.1,3310000,154,1-01639-0057,138 EAST 112 STREET,HARLEM-EAST,D3-ELEVATOR,21,2004,23553,833208,35.4,3880000,165,0.55,1-01627-0037,1794 3 AVENUE,HARLEM-EAST,D7-ELEVATOR,15,2002,10390,231556,22.29,959000,92,0.95
1-01720-7501,1323-R1,1 MT MORRIS PARK WEST,1,10027,40.803977,-73.946075,10,9,200,1053327,1017207501,Central Harlem South                                                       ,HARLEM-CENTRAL,R4-ELEVATOR,36,1909,40987,780000,19.03,2919996,71,1-01718-0053,42 WEST 120 STREET,HARLEM-CENTRAL,D1-ELEVATOR,28,1909,25802,565652,21.92,2340000,91,0.05,1-01710-0036,428 EAST 117 STREET,HARLEM-EAST,D1-ELEVATOR,35,1900,33922,415317,12.24,1170000,34.5,0.9
1-01721-7501,751-R1,3 WEST 122 STREET,1,10027,40.805253,-73.945493,10,9,200,1053397,1017217501,Central Harlem South                                                       ,HARLEM-CENTRAL,R4-ELEVATOR,24,1900,27073,500000,18.47,1869999,69,1-01710-0036,428 EAST 117 STREET,HARLEM-EAST,D1-ELEVATOR,35,1900,33922,415317,12.24,1170000,34.5,0.9,1-01718-0053,42 WEST 120 STREET,HARLEM-CENTRAL,D1-ELEVATOR,28,1909,25802,565652,21.92,2340000,91,0.15
1-01724-7501,1713-R1,50 WEST 127 STREET,1,10027,40.808367,-73.942893,10,9,208,1087607,1017247501,Central Harlem North-Polo Grounds                                          ,HARLEM-CENTRAL,R4-ELEVATOR,23,2005,32150,750000,23.33,3109998,97,1-01639-0057,138 EAST 112 STREET,HARLEM-EAST,D3-ELEVATOR,21,2004,23553,833208,35.4,3880000,165,0.85,1-01677-0009,315 EAST 105 STREET,HARLEM-EAST,D7-ELEVATOR,24,2004,28000,515739,18.42,1930000,69,1.25
1-01724-7503,1865-R1,2056 5 AVENUE,1,10035,40.80757,-73.941434,10,9,208,1053569,1017247503,Central Harlem North-Polo Grounds                                          ,HARLEM-CENTRAL,R4-ELEVATOR,21,1920,24795,300000,12.1,843002,34,1-01724-0044,14 WEST 127 STREET,HARLEM-CENTRAL,D1-ELEVATOR,24,1940,20310,184826,9.1,440000,21.66,0,1-01710-0036,428 EAST 117 STREET,HARLEM-EAST,D1-ELEVATOR,35,1900,33922,415317,12.24,1170000,34.5,0.95
1-01727-7501,1578-R1,380 LENOX AVENUE,1,10027,40.810379,-73.94357,10,9,208,1081375,1017277501,Central Harlem North-Polo Grounds                                          ,HARLEM-CENTRAL,R4-ELEVATOR,77,2005,131237,3850000,29.3,17899996,136,1-01827-0001,257 WEST 111 STREET,HARLEM-CENTRAL,D1-ELEVATOR,113,1985,105273,2238590,21.26,4750000,45.1,0.95,1-01624-0045,1501 LEXINGTON AVENUE,HARLEM-EAST,D6-ELEVATOR,161,2001,133370,5509585,41.3,27000000,202,1.7
1-01729-7501,846-R1,55 WEST 131 STREET,1,10037,40.810924,-73.941171,10,9,208,1053832,1017297501,Central Harlem North-Polo Grounds                                          ,HARLEM-CENTRAL,R4-ELEVATOR,34,1898,28408,575000,20.24,2150009,76,1-01710-0036,428 EAST 117 STREET,HARLEM-EAST,D1-ELEVATOR,35,1900,33922,415317,12.24,1170000,34.5,1.1,1-01823-0061,1871 ADAM C POWELL BOULEV,HARLEM-CENTRAL,D3-ELEVATOR,35,1925,31220,690375,22.11,2860000,92,0.95
1-01729-7503,1530-R1,7 WEST 131 STREET,1,10037,40.810471,-73.940095,10,9,208,1087085,1017297503,Central Harlem North-Polo Grounds                                          ,HARLEM-CENTRAL,R2-WALK-UP,12,2004,15230,410000,26.9,1700001,112,1-01554-0045,310 EAST 92 STREET,UPPER EAST SIDE (79-96),C1-WALK-UP,15,1950,9866,518938,53,2550000,258,2.1,1-01603-0034,69 EAST 97 STREET,UPPER EAST SIDE (96-110),C1-WALK-UP,24,1950,14862,264868,17.82,990000,67,1.75
